state (level2),lga (level3),lgauid,lgacode (SSLL),lgaparentuid,ward (level 4),warduid
ab Abia State,ab Umuahia South Local Government Area,gtiaV7dAXXP,116,FHlOerryBjk,ab A U U Ward,bZEqmSBk5os
ab Abia State,ab Aba South Local Government Area,FQhClVW8Xg4,102,FHlOerryBjk,ab Aba River Ward,a4XuFQDp11A
ab Abia State,ab Aba South Local Government Area,FQhClVW8Xg4,102,FHlOerryBjk,ab Aba Town Hall Ward,mCP8fmKjKPx
ab Abia State,ab Obi Nwga Local Government Area,SglI2OVCrRH,109,FHlOerryBjk,ab Abala Ward,mTTLxQfruW0
ab Abia State,ab Obi Nwga Local Government Area,SglI2OVCrRH,109,FHlOerryBjk,ab Abayi 1 Ward,TKCcHSJbR0C
ab Abia State,ab Obi Nwga Local Government Area,SglI2OVCrRH,109,FHlOerryBjk,ab Abayi 2 Ward,X92ym2jAXfJ
ab Abia State,ab Isiala-Ngwa North Local Government Area,noxZsS0SI3j,106,FHlOerryBjk,ab Abayi Amorji Ward,msriinClQ5m
ab Abia State,ab Ugwunagbo Local Government Area,hbPiBm4baVQ,112,FHlOerryBjk,ab Abayi Mbasa Ward,G4YBEhcgsfa
ab Abia State,ab Isuikwuato Local Government Area,VVYnLplahao,108,FHlOerryBjk,ab Absu-Umuayi Ward,z78ihxpNM7D
ab Abia State,ab Isuikwuato Local Government Area,VVYnLplahao,108,FHlOerryBjk,ab Acha-Amachara Ward,PHWgBRUKu3S
ab Abia State,ab Isuikwuato Local Government Area,VVYnLplahao,108,FHlOerryBjk,ab Achara Ward,g5jYtrQxZtB
ab Abia State,ab Isiala-Ngwa North Local Government Area,noxZsS0SI3j,106,FHlOerryBjk,ab Achiudo Ward,Jl8tSDmFbzI
ab Abia State,ab Umuahia North Local Government Area,Nya0Lyr9MV5,115,FHlOerryBjk,ab Afaraukwu Ward,M27C9oL5mB2
ab Abia State,ab Umuahia North Local Government Area,Nya0Lyr9MV5,115,FHlOerryBjk,ab Afugiri Ward,uD0YFZ06sRd
ab Abia State,ab Umuahia North Local Government Area,Nya0Lyr9MV5,115,FHlOerryBjk,ab Afugiri Ward 2,lWSmFHCPZlZ
ab Abia State,ab Ikwuano Local Government Area,XrdEDixLBo6,105,FHlOerryBjk,ab Agbaluozu Ward,iKBYHFBK37A
ab Abia State,ab Ohafia Local Government Area,CaNeJHeZmUR,110,FHlOerryBjk,ab Agboji Ward,VvC7Igb9jTK
ab Abia State,ab Isiala-Ngwa North Local Government Area,noxZsS0SI3j,106,FHlOerryBjk,ab Agburuezeukwu Ward,PSvmbHTLKdP
ab Abia State,ab Obi Nwga Local Government Area,SglI2OVCrRH,109,FHlOerryBjk,ab Ahiaba 5 Ward,wwIbo0PyuVN
ab Abia State,ab Isiala-Ngwa North Local Government Area,noxZsS0SI3j,106,FHlOerryBjk,ab Ahiabaubi Umuchima Ward,V1jJRbFTjYL
ab Abia State,ab Umuahia South Local Government Area,gtiaV7dAXXP,116,FHlOerryBjk,ab Ahiaukwu A Ward,FagXHp0aLoq
ab Abia State,ab Umuahia South Local Government Area,gtiaV7dAXXP,116,FHlOerryBjk,ab Ahiaukwu B Ward,BE0T7aIkcb9
ab Abia State,ab Ikwuano Local Government Area,XrdEDixLBo6,105,FHlOerryBjk,ab Ajatanigu Ward,KPX9MI8TJss
ab Abia State,ab Ohafia Local Government Area,CaNeJHeZmUR,110,FHlOerryBjk,ab Akanukwu Ward,LEFQKiLwr3z
ab Abia State,ab Obi Nwga Local Government Area,SglI2OVCrRH,109,FHlOerryBjk,ab Akpa-Mbato Ward,Acvn1TP13Sz
ab Abia State,ab Obi Nwga Local Government Area,SglI2OVCrRH,109,FHlOerryBjk,ab Akumaimo Ward,jefL2SxHOXG
ab Abia State,ab Isiala-Ngwa South Local Government Area,PvCx4O9hUyE,107,FHlOerryBjk,ab Aku-na Ekpu Ward I,TjXVW0YkIOc
ab Abia State,ab Ukwa East Local Government Area,MOb01aK42zX,113,FHlOerryBjk,ab Akwete Ohandu Ward,LhoIgBniw8X
ab Abia State,ab Obi Nwga Local Government Area,SglI2OVCrRH,109,FHlOerryBjk,ab Alaukwu Ohanze Ward,Ppd6WjjLYfr
ab Abia State,ab Isiala-Ngwa South Local Government Area,PvCx4O9hUyE,107,FHlOerryBjk,ab Alaukwu Ward,RhYYfvSBOC6
ab Abia State,ab Bende Local Government Area,mM1oE6m2BPZ,104,FHlOerryBjk,ab Alayi A Ward,j2Ygwvd1umw
ab Abia State,ab Bende Local Government Area,mM1oE6m2BPZ,104,FHlOerryBjk,ab Alayi B Ward,C3QW20SiFY7
ab Abia State,ab Isiala-Ngwa North Local Government Area,noxZsS0SI3j,106,FHlOerryBjk,ab Amaasa Ward,PQWgPb69J9G
ab Abia State,ab Ohafia Local Government Area,CaNeJHeZmUR,110,FHlOerryBjk,ab Amaibe-Ezoke Ward,CKlrGkb0VBP
ab Abia State,ab Isiala-Ngwa South Local Government Area,PvCx4O9hUyE,107,FHlOerryBjk,ab Amaise Ahaba Ward,BHP4qmNFvbh
ab Abia State,ab Osisioma Ngwa Local Government Area,R72wK9F1YKO,111,FHlOerryBjk,ab Amaise Amapuife Ward,OuIaZDTHbUF
ab Abia State,ab Isiala-Ngwa South Local Government Area,PvCx4O9hUyE,107,FHlOerryBjk,ab Amaise Ward,wmPG0N0uLxz
ab Abia State,ab Isiala-Ngwa South Local Government Area,PvCx4O9hUyE,107,FHlOerryBjk,ab Amaitolu Ward,mGgeDi1zV5Q
ab Abia State,ab Osisioma Ngwa Local Government Area,R72wK9F1YKO,111,FHlOerryBjk,ab Amaitolu Ward (Osisioma),C2nFaKG3pzi
ab Abia State,ab Ukwa East Local Government Area,MOb01aK42zX,113,FHlOerryBjk,ab Amakam Akwete Ward,tzsakM3Znhk
ab Abia State,ab Umuahia South Local Government Area,gtiaV7dAXXP,116,FHlOerryBjk,ab Amakama Ward,mNTqkAYPwle
ab Abia State,ab Umunneochi Local Government Area,jcDcQsnT8hO,117,FHlOerryBjk,ab Amaorie Ward,Jj1nQO9Nhaw
ab Abia State,ab Isiala-Ngwa North Local Government Area,noxZsS0SI3j,106,FHlOerryBjk,ab Amapu Ntigha Ward,XpKL5vsY8WP
ab Abia State,ab Ugwunagbo Local Government Area,hbPiBm4baVQ,112,FHlOerryBjk,ab Amapu-Ideobia Ward,CHOwE4gxx6x
ab Abia State,ab Isiala-Ngwa North Local Government Area,noxZsS0SI3j,106,FHlOerryBjk,ab Amasaa Ntigha Ward,IhmvW5WYkdj
ab Abia State,ab Osisioma Ngwa Local Government Area,R72wK9F1YKO,111,FHlOerryBjk,ab Amasaa Ward,EIoZ1FjXVz1
ab Abia State,ab Osisioma Ngwa Local Government Area,R72wK9F1YKO,111,FHlOerryBjk,ab Amasator Ward,wjoXQoC1NUH
ab Abia State,ab Osisioma Ngwa Local Government Area,R72wK9F1YKO,111,FHlOerryBjk,ab Amator Ward,TYcmOh300Jp
ab Abia State,ab Osisioma Ngwa Local Government Area,R72wK9F1YKO,111,FHlOerryBjk,ab Amavo-Nkwogu Ward,F011BPe4CHx
ab Abia State,ab Ohafia Local Government Area,CaNeJHeZmUR,110,FHlOerryBjk,ab Ameke 1 Ward,jDoummXzJXD
ab Abia State,ab Ohafia Local Government Area,CaNeJHeZmUR,110,FHlOerryBjk,ab Ameke 2 Ward,XTEFrhN3Pir
ab Abia State,ab Ohafia Local Government Area,CaNeJHeZmUR,110,FHlOerryBjk,ab Amiyi-Umuokwuru Ward,sDojKxkmsJu
ab Abia State,ab Isuikwuato Local Government Area,VVYnLplahao,108,FHlOerryBjk,ab Amiyiobinohia Ward,y2PmRfbOqnz
ab Abia State,ab Ohafia Local Government Area,CaNeJHeZmUR,110,FHlOerryBjk,ab Amogudu 1 Ward,R6EiKknS8FD
ab Abia State,ab Ohafia Local Government Area,CaNeJHeZmUR,110,FHlOerryBjk,ab Amogudu 2 Ward,gstQoMwMuq8
ab Abia State,ab Umunneochi Local Government Area,jcDcQsnT8hO,117,FHlOerryBjk,ab Amuba Umuagbuele Ward,ODIkzDhwYyN
ab Abia State,ab Umunneochi Local Government Area,jcDcQsnT8hO,117,FHlOerryBjk,ab Amuda Ward,HOaF7gTGaof
ab Abia State,ab Ohafia Local Government Area,CaNeJHeZmUR,110,FHlOerryBjk,ab Ania Ward,fikWtdWs4PB
ab Abia State,ab Isiala-Ngwa South Local Government Area,PvCx4O9hUyE,107,FHlOerryBjk,ab Anyambutu Ward,t5WQNdmFNy0
ab Abia State,ab Ikwuano Local Government Area,XrdEDixLBo6,105,FHlOerryBjk,ab Ariam 1 Ward,uWKZudL88aV
ab Abia State,ab Aba North Local Government Area,NmLIx68MjRi,101,FHlOerryBjk,ab Ariaria Ward,fMmqozprtHG
ab Abia State,ab Arochukwu Local Government Area,YmDVu2Zobjx,103,FHlOerryBjk,ab Arochukwu 1 Ward,ERf7Kedu8jN
ab Abia State,ab Arochukwu Local Government Area,YmDVu2Zobjx,103,FHlOerryBjk,ab Arochukwu Ward 2,dPgv3QJaMrc
ab Abia State,ab Arochukwu Local Government Area,YmDVu2Zobjx,103,FHlOerryBjk,ab Arochukwu Ward 3,D71oHvfVSQ2
ab Abia State,ab Arochukwu Local Government Area,YmDVu2Zobjx,103,FHlOerryBjk,ab Arochukwu Ward 4,tLefZPVhI3T
ab Abia State,ab Umunneochi Local Government Area,jcDcQsnT8hO,117,FHlOerryBjk,ab Aroikpa Ward,KAkO1ouEthb
ab Abia State,ab Osisioma Ngwa Local Government Area,R72wK9F1YKO,111,FHlOerryBjk,ab Arongwa Ward,WXWQeGxtwPJ
ab Abia State,ab Ugwunagbo Local Government Area,hbPiBm4baVQ,112,FHlOerryBjk,ab Asa Amuhi Ward,yjqv6wP8Yos
ab Abia State,ab Ukwa West Local Government Area,VIBkrLoSn6m,114,FHlOerryBjk,ab Asa North Ward,UaguJU2tHpn
ab Abia State,ab Ukwa West Local Government Area,VIBkrLoSn6m,114,FHlOerryBjk,ab Asa South Ward I,YpQSAaB4e0j
ab Abia State,ab Ukwa West Local Government Area,VIBkrLoSn6m,114,FHlOerryBjk,ab Asa South Ward II,sPQrD2fCLc8
ab Abia State,ab Aba South Local Government Area,FQhClVW8Xg4,102,FHlOerryBjk,ab Asa Ward,PiL6DFpdSNl
ab Abia State,ab Aba North Local Government Area,noxZsS0SI3j,106,FHlOerryBjk,ab Asaokpuaja Ward,h7vZoiA0vh4
ab Abia State,ab Aba North Local Government Area,NmLIx68MjRi,101,FHlOerryBjk,ab Asa-Okpulor Ward,xiej6N1tjH7
ab Abia State,ab Ugwunagbo Local Government Area,hbPiBm4baVQ,112,FHlOerryBjk,ab Asa-Umunka Ward,IV8RVEPfaai
ab Abia State,ab Umuahia North Local Government Area,Nya0Lyr9MV5,115,FHlOerryBjk,ab Azueke Ward,wsKQOQJhSiY
ab Abia State,ab Ikwuano Local Government Area,XrdEDixLBo6,105,FHlOerryBjk,ab Azuiyi Ward,Y1nYqibyY00
ab Abia State,ab Ukwa East Local Government Area,MOb01aK42zX,113,FHlOerryBjk,ab Azumini Ward,EWLfDiaJToo
ab Abia State,ab Bende Local Government Area,mM1oE6m2BPZ,104,FHlOerryBjk,ab Bende Ward,mFEvuaGa033
ab Abia State,ab Arochukwu Local Government Area,YmDVu2Zobjx,103,FHlOerryBjk,ab Ebemoha Ward,TzI3Byyc32y
ab Abia State,ab Ohafia Local Government Area,CaNeJHeZmUR,110,FHlOerryBjk,ab Ebemoha Ward,pRTA6FD8Ciy
ab Abia State,ab Isiala-Ngwa South Local Government Area,PvCx4O9hUyE,107,FHlOerryBjk,ab Ehi-na-Uguru Ward,AhsMNBluiHl
ab Abia State,ab Aba South Local Government Area,FQhClVW8Xg4,102,FHlOerryBjk,ab Ekeoha Ward,qq1LRrRIXBk
ab Abia State,ab Ikwuano Local Government Area,XrdEDixLBo6,105,FHlOerryBjk,ab Ekpiri Ward,kwv4kp6gBTw
ab Abia State,ab Arochukwu Local Government Area,YmDVu2Zobjx,103,FHlOerryBjk,ab Eleoha Ihe 1 Ward,BieGd6Qflqx
ab Abia State,ab Arochukwu Local Government Area,YmDVu2Zobjx,103,FHlOerryBjk,ab Eleoha Ihe 2 Ward,WUFw1TBPeZZ
ab Abia State,ab Arochukwu Local Government Area,YmDVu2Zobjx,103,FHlOerryBjk,ab Eleoha Ihe 3 Ward,GHyJFedGABE
ab Abia State,ab Arochukwu Local Government Area,YmDVu2Zobjx,103,FHlOerryBjk,ab Eleoha Ututu Ward,C1yI9fhu95Q
ab Abia State,ab Aba South Local Government Area,FQhClVW8Xg4,102,FHlOerryBjk,ab Elu Ohazu Ward,EiKfzDWNWnl
ab Abia State,ab Isuikwuato Local Government Area,VVYnLplahao,108,FHlOerryBjk,ab Eluma Ward,ydKnM9oKrbt
ab Abia State,ab Aba South Local Government Area,FQhClVW8Xg4,102,FHlOerryBjk,ab Enyimba Ward,D4ZANQWqM9D
ab Abia State,ab Arochukwu Local Government Area,YmDVu2Zobjx,103,FHlOerryBjk,ab Etiti Abam Ward,L4tqB11ZLE2
ab Abia State,ab Osisioma Ngwa Local Government Area,R72wK9F1YKO,111,FHlOerryBjk,ab Etiti Amavo Ward,ySzdFETmOrK
ab Abia State,ab Aba North Local Government Area,NmLIx68MjRi,101,FHlOerryBjk,ab Eugene Ward,PpjfC4la4Tq
ab Abia State,ab Umuahia South Local Government Area,gtiaV7dAXXP,116,FHlOerryBjk,ab Ezeleke Ward,zPfns6GSJmo
ab Abia State,ab Isuikwuato Local Government Area,VVYnLplahao,108,FHlOerryBjk,ab Ezere Ward,EZRe4aEFoXJ
ab Abia State,ab Umunneochi Local Government Area,jcDcQsnT8hO,117,FHlOerryBjk,ab Eziama Agbor Ward,jaitBSwJUMG
ab Abia State,ab Isiala-Ngwa North Local Government Area,noxZsS0SI3j,106,FHlOerryBjk,ab Eziama Ntigha Ward,irVWS4FKMpI
ab Abia State,ab Umunneochi Local Government Area,jcDcQsnT8hO,117,FHlOerryBjk,ab Eziama Ugwu Ward,F1KfLf2qiNN
ab Abia State,ab Aba North Local Government Area,NmLIx68MjRi,101,FHlOerryBjk,ab Eziama Ward,GFCtTx6Vid3
ab Abia State,ab Umuahia South Local Government Area,gtiaV7dAXXP,116,FHlOerryBjk,ab Eziama Ward (Umuahia South),zVV7ppTz2Dd
ab Abia State,ab Umunneochi Local Government Area,jcDcQsnT8hO,117,FHlOerryBjk,ab Ezingodo Ward,u2LqChK0TVH
ab Abia State,ab Aba South Local Government Area,FQhClVW8Xg4,102,FHlOerryBjk,ab Eziukwu 1 Ward,v1MX5UluKEa
ab Abia State,ab Aba South Local Government Area,FQhClVW8Xg4,102,FHlOerryBjk,ab Eziukwu 2 Ward,ir7WrdmT4ZR
ab Abia State,ab Aba South Local Government Area,FQhClVW8Xg4,102,FHlOerryBjk,ab Glocester Ward,cXg7U5djM3k
ab Abia State,ab Umuahia North Local Government Area,Nya0Lyr9MV5,115,FHlOerryBjk,ab Ibeku East 1 Ward,csh78EUIeZz
ab Abia State,ab Umuahia North Local Government Area,Nya0Lyr9MV5,115,FHlOerryBjk,ab Ibeku East 2 Ward,pmERWD9Xe2B
ab Abia State,ab Umuahia North Local Government Area,Nya0Lyr9MV5,115,FHlOerryBjk,ab Ibeku West Ward,TmFaTRgqW85
ab Abia State,ab Ikwuano Local Government Area,XrdEDixLBo6,105,FHlOerryBjk,ab Ibere 1 Ward,qwR64KpbvsJ
ab Abia State,ab Ikwuano Local Government Area,XrdEDixLBo6,105,FHlOerryBjk,ab Ibere 2 Ward,BxcWvPhrXM1
ab Abia State,ab Bende Local Government Area,mM1oE6m2BPZ,104,FHlOerryBjk,ab Igbere 1 Ward,FlaQRYu2lEd
ab Abia State,ab Bende Local Government Area,mM1oE6m2BPZ,104,FHlOerryBjk,ab Igbere 2 Ward,rzeRCgKAxLk
ab Abia State,ab Bende Local Government Area,mM1oE6m2BPZ,104,FHlOerryBjk,ab Igbere 3 Ward,chZXyNJh9HN
ab Abia State,ab Aba South Local Government Area,FQhClVW8Xg4,102,FHlOerryBjk,ab Igwebuike Ward,VcOplfYrz7b
ab Abia State,ab Aba South Local Government Area,FQhClVW8Xg4,102,FHlOerryBjk,ab Iheorji Ward,KQTe3wOWrnC
ab Abia State,ab Isiala-Ngwa North Local Government Area,noxZsS0SI3j,106,FHlOerryBjk,ab Ihie Ward,aKs5183tFrH
ab Abia State,ab Ugwunagbo Local Government Area,hbPiBm4baVQ,112,FHlOerryBjk,ab Ihie-Obeaku Ward,WiWzV0eis16
ab Abia State,ab Ugwunagbo Local Government Area,hbPiBm4baVQ,112,FHlOerryBjk,ab Ihieukwu Ward,bNJ8MVlRO4I
ab Abia State,ab Isuikwuato Local Government Area,VVYnLplahao,108,FHlOerryBjk,ab Ikeagha 1 Ward,kXcBvYM6sIn
ab Abia State,ab Isuikwuato Local Government Area,VVYnLplahao,108,FHlOerryBjk,ab Ikeagha 2 Ward,dNQpEVmhz3s
ab Abia State,ab Isiala-Ngwa South Local Government Area,PvCx4O9hUyE,107,FHlOerryBjk,ab Ikeala Mbutu Ward,SgRVyQntZOm
ab Abia State,ab Ikwuano Local Government Area,XrdEDixLBo6,105,FHlOerryBjk,ab Ikemba Ward,OAhE9hcyBsm
ab Abia State,ab Ukwa East Local Government Area,MOb01aK42zX,113,FHlOerryBjk,ab Ikwueke West Ward,YkgzEOsvv1m
ab Abia State,ab Arochukwu Local Government Area,YmDVu2Zobjx,103,FHlOerryBjk,ab Ikwun 1 Ward,uLAFT2L2HHc
ab Abia State,ab Arochukwu Local Government Area,YmDVu2Zobjx,103,FHlOerryBjk,ab Ikwun 2 Ward,p5bWvWJ13Yj
ab Abia State,ab Ukwa East Local Government Area,MOb01aK42zX,113,FHlOerryBjk,ab Ikwuorie Ward,VpIKtj8ahtV
ab Abia State,ab Ukwa East Local Government Area,MOb01aK42zX,113,FHlOerryBjk,ab Ikwuriotor East Ward,axkOLp9xFs2
ab Abia State,ab Ukwa East Local Government Area,MOb01aK42zX,113,FHlOerryBjk,ab Ikwuriotor West Ward,xkhmYmr1dwJ
ab Abia State,ab Isuikwuato Local Government Area,VVYnLplahao,108,FHlOerryBjk,ab Imenyi 1 Ward,plIxvnbgeFB
ab Abia State,ab Isuikwuato Local Government Area,VVYnLplahao,108,FHlOerryBjk,ab Imenyi 2 Ward,JHQMz3kJ0Ia
ab Abia State,ab Aba North Local Government Area,NmLIx68MjRi,101,FHlOerryBjk,ab Industrial Ward,VOrEYeVC7SW
ab Abia State,ab Ukwa West Local Government Area,VIBkrLoSn6m,114,FHlOerryBjk,ab Ipu East Ward,I3IZcY4Cipo
ab Abia State,ab Ukwa West Local Government Area,VIBkrLoSn6m,114,FHlOerryBjk,ab Ipu South Ward,w2A30OvHru3
ab Abia State,ab Ukwa West Local Government Area,VIBkrLoSn6m,114,FHlOerryBjk,ab Ipu West Ward,mDx0Xg1movC
ab Abia State,ab Isiala-Ngwa North Local Government Area,noxZsS0SI3j,106,FHlOerryBjk,ab Isiala Amapu Ward,NJZAWFdmXeY
ab Abia State,ab Obi Nwga Local Government Area,SglI2OVCrRH,109,FHlOerryBjk,ab Isiala Itu Ward,CxIb3KP1LMY
ab Abia State,ab Isiala-Ngwa North Local Government Area,noxZsS0SI3j,106,FHlOerryBjk,ab Isiala Nsulu Ward,gWV4kKtrTN5
ab Abia State,ab Osisioma Ngwa Local Government Area,R72wK9F1YKO,111,FHlOerryBjk,ab Isiala Okpu Ward,cC2sLNVg4qS
ab Abia State,ab Isuikwuato Local Government Area,VVYnLplahao,108,FHlOerryBjk,ab Isiala Ward,BpjGXfhPOWX
ab Abia State,ab Ohafia Local Government Area,CaNeJHeZmUR,110,FHlOerryBjk,ab Isiama Ward,sflNETOy52V
ab Abia State,ab Umuahia North Local Government Area,Nya0Lyr9MV5,115,FHlOerryBjk,ab Isingwu Ward,tABgdHnKdn4
ab Abia State,ab Arochukwu Local Government Area,YmDVu2Zobjx,103,FHlOerryBjk,ab Isu Ward,p7ISHENA8ER
ab Abia State,ab Isuikwuato Local Government Area,VVYnLplahao,108,FHlOerryBjk,ab Isunabo Ward (Isukwator),RxB77ZvE2eP
ab Abia State,ab Bende Local Government Area,mM1oE6m2BPZ,104,FHlOerryBjk,ab Item 1 Ward,xFPWHdXHOwG
ab Abia State,ab Bende Local Government Area,mM1oE6m2BPZ,104,FHlOerryBjk,ab Item 2 Ward,I4iovOTpOtf
ab Abia State,ab Bende Local Government Area,mM1oE6m2BPZ,104,FHlOerryBjk,ab Item 3 Ward,ZuAhII2k0b4
ab Abia State,ab Bende Local Government Area,mM1oE6m2BPZ,104,FHlOerryBjk,ab Item 4 Ward,Dage9vWRR9K
ab Abia State,ab Bende Local Government Area,mM1oE6m2BPZ,104,FHlOerryBjk,ab Itumbauzo 1 Ward,SP0W62HrVUu
ab Abia State,ab Bende Local Government Area,mM1oE6m2BPZ,104,FHlOerryBjk,ab Itumbauzo 2 Ward,ipqvtlriy2X
ab Abia State,ab Umunneochi Local Government Area,jcDcQsnT8hO,117,FHlOerryBjk,ab Lekwesi Ward,JOfPsGRKLDk
ab Abia State,ab Umunneochi Local Government Area,jcDcQsnT8hO,117,FHlOerryBjk,ab Leru Ward,XI0vXKvTDoa
ab Abia State,ab Umunneochi Local Government Area,jcDcQsnT8hO,117,FHlOerryBjk,ab Lokpanta Ward,yis7W9K2juT
ab Abia State,ab Umunneochi Local Government Area,jcDcQsnT8hO,117,FHlOerryBjk,ab Lokpaukwu Ward,VPlEVIcua63
ab Abia State,ab Umunneochi Local Government Area,jcDcQsnT8hO,117,FHlOerryBjk,ab Mbala Achara Ward,Eqn1ztrzLNC
ab Abia State,ab Ukwa East Local Government Area,MOb01aK42zX,113,FHlOerryBjk,ab Mbam Abuo Ward,I8AObfOU243
ab Abia State,ab Umuahia North Local Government Area,Nya0Lyr9MV5,115,FHlOerryBjk,ab Mbaocha Ward,OeNFDZ2Poa0
ab Abia State,ab Isiala-Ngwa North Local Government Area,noxZsS0SI3j,106,FHlOerryBjk,ab Mbawsi Umuomainta Ward,SIpYv6Q6tiB
ab Abia State,ab Isiala-Ngwa South Local Government Area,PvCx4O9hUyE,107,FHlOerryBjk,ab Mbutu Ngwa Ward,VT9G1vKpZ7S
ab Abia State,ab Isiala-Ngwa South Local Government Area,PvCx4O9hUyE,107,FHlOerryBjk,ab Mbutu Ukwu Ward,xNFPjMqHek3
ab Abia State,ab Osisioma Ngwa Local Government Area,R72wK9F1YKO,111,FHlOerryBjk,ab Mbutu Umuojima Ward,Seawd2C72m2
ab Abia State,ab Osisioma Ngwa Local Government Area,R72wK9F1YKO,111,FHlOerryBjk,ab Mbutuoma Ward,E67PBtXoRTw
ab Abia State,ab Obi Nwga Local Government Area,SglI2OVCrRH,109,FHlOerryBjk,ab Mgboko Amiri Ward,Kdo6uEqzW2v
ab Abia State,ab Obi Nwga Local Government Area,SglI2OVCrRH,109,FHlOerryBjk,ab Mgboko Itungwa Ward,Y3AYCfkIqFK
ab Abia State,ab Obi Nwga Local Government Area,SglI2OVCrRH,109,FHlOerryBjk,ab Mgboko Umuanunu 1 Ward,lGeJac0tg47
ab Abia State,ab Obi Nwga Local Government Area,SglI2OVCrRH,109,FHlOerryBjk,ab Mgboko Umuanunu 2 Ward,D3WwnNLd9i6
ab Abia State,ab Ukwa East Local Government Area,MOb01aK42zX,113,FHlOerryBjk,ab Mkpukpuaja Ogbuagu Ward,WbPLPAkyyoE
ab Abia State,ab Aba South Local Government Area,FQhClVW8Xg4,102,FHlOerryBjk,ab Mosque Ward,fNpQV968sxQ
ab Abia State,ab Ohafia Local Government Area,CaNeJHeZmUR,110,FHlOerryBjk,ab Ndi Agbor Ward,wDTjmu3NhlE
ab Abia State,ab Ohafia Local Government Area,CaNeJHeZmUR,110,FHlOerryBjk,ab Ndi Elu Ward,MChL8A63Gkt
ab Abia State,ab Ohafia Local Government Area,CaNeJHeZmUR,110,FHlOerryBjk,ab Ndi Etiti Ward,NNyJPxwUHX6
ab Abia State,ab Obi Nwga Local Government Area,SglI2OVCrRH,109,FHlOerryBjk,ab Ndiakata Ward,YyYrrow9AVB
ab Abia State,ab Umuahia North Local Government Area,Nya0Lyr9MV5,115,FHlOerryBjk,ab Ndume Ward,yL4jRFiyuWf
ab Abia State,ab Isuikwuato Local Government Area,VVYnLplahao,108,FHlOerryBjk,ab Ndundu Ward,LLR3EdJrOK3
ab Abia State,ab Isuikwuato Local Government Area,VVYnLplahao,108,FHlOerryBjk,ab Ngodo Ugwuele Ward,wIXPFM8vp8Q
ab Abia State,ab Aba South Local Government Area,FQhClVW8Xg4,102,FHlOerryBjk,ab Ngwa 1 Ward,rGk3PWYdx43
ab Abia State,ab Aba South Local Government Area,FQhClVW8Xg4,102,FHlOerryBjk,ab Ngwa 2 Ward,blBgHv3GLU3
ab Abia State,ab Ugwunagbo Local Government Area,hbPiBm4baVQ,112,FHlOerryBjk,ab Ngwaiyiekwe Ward,MdgP2HYbx05
ab Abia State,ab Isiala-Ngwa South Local Government Area,PvCx4O9hUyE,107,FHlOerryBjk,ab Ngwaobi Ward,b6g63RhlkxM
ab Abia State,ab Isiala-Ngwa North Local Government Area,noxZsS0SI3j,106,FHlOerryBjk,ab Ngwaukwu Ward 1,EftrHbhM2bm
ab Abia State,ab Isiala-Ngwa North Local Government Area,noxZsS0SI3j,106,FHlOerryBjk,ab Ngwaukwu Ward 2,SkcgLkzBveg
ab Abia State,ab Bende Local Government Area,mM1oE6m2BPZ,104,FHlOerryBjk,ab Nkpa 1 Ward,x2Vfxuwoq8r
ab Abia State,ab Bende Local Government Area,mM1oE6m2BPZ,104,FHlOerryBjk,ab Nkpa 2 Ward,JSndgcUSeVI
ab Abia State,ab Ugwunagbo Local Government Area,hbPiBm4baVQ,112,FHlOerryBjk,ab Nkpukpuevula Ward,ORlqdeFVH2B
ab Abia State,ab Umuahia North Local Government Area,Nya0Lyr9MV5,115,FHlOerryBjk,ab Nkwochara Ward,NlI0UEfnQcF
ab Abia State,ab Umuahia North Local Government Area,Nya0Lyr9MV5,115,FHlOerryBjk,ab Nkwoegwu Ward,wxWfiAP9uT9
ab Abia State,ab Umuahia South Local Government Area,gtiaV7dAXXP,116,FHlOerryBjk,ab Nsirimo Ward,LBB6XsFdGgY
ab Abia State,ab Obi Nwga Local Government Area,SglI2OVCrRH,109,FHlOerryBjk,ab Ntighauzor Ward,uXisfhNL7tx
ab Abia State,ab Ugwunagbo Local Government Area,hbPiBm4baVQ,112,FHlOerryBjk,ab Obeaja Ward,CXtTe3BGAeM
ab Abia State,ab Ukwa East Local Government Area,MOb01aK42zX,113,FHlOerryBjk,ab Obeaku Ward,XtTkI1o8TcR
ab Abia State,ab Ugwunagbo Local Government Area,hbPiBm4baVQ,112,FHlOerryBjk,ab Obegu Ward,gjAJQ5LvzkZ
ab Abia State,ab Isuikwuato Local Government Area,VVYnLplahao,108,FHlOerryBjk,ab Obialaugo Ward,EFmdkj1FlVT
ab Abia State,ab Umunneochi Local Government Area,jcDcQsnT8hO,117,FHlOerryBjk,ab Obinolu-Obiagu-Lomara Ward,vnEuVgWAoOy
ab Abia State,ab Isiala-Ngwa South Local Government Area,PvCx4O9hUyE,107,FHlOerryBjk,ab Obintu Mbutu Ward,ukMH9HqxV7y
ab Abia State,ab Umunneochi Local Government Area,jcDcQsnT8hO,117,FHlOerryBjk,ab Obinulo-Umuogbokocha-Uhude Ward,xOToJ5eE2PY
ab Abia State,ab Ukwa East Local Government Area,MOb01aK42zX,113,FHlOerryBjk,ab Obohia Ward,lpvn3lNNOF1
ab Abia State,ab Ukwa West Local Government Area,VIBkrLoSn6m,114,FHlOerryBjk,ab Obokwe Ward I,Cef1mWxsySF
